# radius_m,1.75
# hub_radius_m,0.085
# n_blades,2
# airfoil,dae51
# rpm,92.36388836640077
# velocity_mps,6.7
# rho,1.225
# mu,1.81e-05
station,r_m,dr_m,chord_m,twist_deg
0,0.12662500000000002,0.08325,0.14091072064258586,75.16260950364021
1,0.209875,0.08324999999999999,0.13880019710552158,72.27570586977039
2,0.293125,0.08325000000000005,0.13857331777790052,69.14145155620311
3,0.376375,0.08324999999999999,0.13877144111629516,66.07329366598668
4,0.459625,0.08324999999999994,0.13839260719446717,63.07794141471902
5,0.542875,0.08325000000000005,0.13723904277845167,60.01537716831267
6,0.626125,0.08324999999999994,0.13697938457744382,56.89462785754785
7,0.709375,0.08325000000000005,0.13764010294106016,53.796713656392946
8,0.792625,0.08325000000000005,0.1384786414048169,50.77401392708517
9,0.875875,0.08324999999999994,0.13863316080845806,47.920972895007154
10,0.959125,0.08325000000000005,0.13749902700461344,45.29909039792806
11,1.042375,0.08325000000000005,0.13474970902035016,42.92470169123659
12,1.125625,0.08325000000000005,0.13023041639032834,40.790371287946215
13,1.208875,0.08324999999999982,0.12387003910366808,38.881235925480794
14,1.292125,0.08325000000000005,0.1156236139442864,37.183527650234545
15,1.375375,0.08325000000000005,0.1054295397982482,35.689144605175954
16,1.458625,0.08325000000000005,0.0931659214140591,34.40022383968701
17,1.541875,0.08325000000000005,0.07859669484933332,33.33887683365632
18,1.6251250000000002,0.08324999999999982,0.06140864210094685,32.571878325160256
19,1.708375,0.08325000000000005,0.042989285158836585,32.242067476952755
